,회사명,채용공고 제목,링크
906,컴투스플랫폼,Hive플랫폼 DBA,https://www.wanted.co.kr/wd/202502
907,이쿠얼키(인공지능수학 깨봉),Senior Backend Engineer(7년 이상),https://www.wanted.co.kr/wd/199301
908,크리스틴컴퍼니,프론트앤드 개발자 / 2년 이상 (부산),https://www.wanted.co.kr/wd/214999
909,크로스이엔에프,Python 서버개발자,https://www.wanted.co.kr/wd/153489
910,이노그리드,[퍼블릭 사업부 매니지드서비스팀] MSP,https://www.wanted.co.kr/wd/206624
911,클로인트,블록체인 데이터 엔지니어,https://www.wanted.co.kr/wd/174907
912,엔스테이지,클라이언트 개발자,https://www.wanted.co.kr/wd/209976
913,"우아한형제들(배달의민족,Tech)",AI실 추천프로덕트팀 데이터과학자,https://www.wanted.co.kr/wd/212266
914,넥스원소프트,"인증, PKI, DID 연구개발",https://www.wanted.co.kr/wd/204709
915,다비오(Dabeeo),SAR 신호처리 엔지니어,https://www.wanted.co.kr/wd/213292
916,소리애셋,시스템 트레이딩 개발자,https://www.wanted.co.kr/wd/206696
917,니어스랩,소프트웨어 엔지니어 팀장 (드론 원격 관제 S/W 개발),https://www.wanted.co.kr/wd/195802
918,롯데카드,DA,https://www.wanted.co.kr/wd/208587
919,포토위젯,iOS 엔지니어 (5년차 이상),https://www.wanted.co.kr/wd/203778
920,엑소시스템즈,생체신호 AI 엔지니어 (병역특례 가능),https://www.wanted.co.kr/wd/78417
921,오픈소스컨설팅,아틀라시안 운영지원,https://www.wanted.co.kr/wd/200198
922,디지털워치독,Backend 개발자 (4년차 이상),https://www.wanted.co.kr/wd/202041
923,에이치투오시스템테크놀로지,백엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/207656
924,포티투닷(42dot),Senior Technical Writer,https://www.wanted.co.kr/wd/202801
925,한화비전,(ACS)Edge Device SW Engineer,https://www.wanted.co.kr/wd/213414
926,튠잇,백엔드 엔지니어,https://www.wanted.co.kr/wd/204236
927,엔포트버스,[BackEnd] C++ 개발자,https://www.wanted.co.kr/wd/163314
928,"우아한형제들(배달의민족,Tech)",침해사고대응 및 보안 위협 분석가,https://www.wanted.co.kr/wd/211939
929,엔쓰리엔(N3N),Server Engineer 개발자(팀장급),https://www.wanted.co.kr/wd/213101
930,피어테크(지닥),정보보안 관리자(팀장),https://www.wanted.co.kr/wd/212052
931,팹(PAP),[시크] Java / Kotlin 백엔드 개발자,https://www.wanted.co.kr/wd/205880
932,아이티엑스-에이아이(ITX-AI),소프트웨어 개발자 (IPCAMERA/DVR/NVR용 FW),https://www.wanted.co.kr/wd/209768
933,파스토,Product Owner,https://www.wanted.co.kr/wd/31848
934,하이얼코리아알앤디(GE Appliances),Cloud Engineer,https://www.wanted.co.kr/wd/208015
935,웅진,JAVA 기반 자사 솔루션 개발/운영(렌탈),https://www.wanted.co.kr/wd/152962
936,누비랩,[100억↑투자] 서비스 테크 리더,https://www.wanted.co.kr/wd/195209
937,반프,R&D / Data Scientist & Data Analyst,https://www.wanted.co.kr/wd/193901
938,쿠팡,"Senior Manager, Mobile Product (iOS)",https://www.wanted.co.kr/wd/214646
939,메디팔(MedipalInc.),웹프론트엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/187422
940,인테그리틱스,백엔드 개발자 (3년 이상),https://www.wanted.co.kr/wd/178367
941,프롬서울(FROM SEOUL),[아바타 플랫폼] 유니티 개발자,https://www.wanted.co.kr/wd/196720
942,에이스웍스코리아,Linux System Engineer 전문연 가능,https://www.wanted.co.kr/wd/205932
943,이지식스(엠블),[TADA] QA Engineer,https://www.wanted.co.kr/wd/158459
944,위메이드(WEMADE),ML Engineer (LLM/NLP),https://www.wanted.co.kr/wd/207197
945,오케스트로,"Cloud Architect (AA)(공공,국방,금융사업)",https://www.wanted.co.kr/wd/214100
946,오케스트로,"Cloud Architect (TA)(공공,국방,금융사업)",https://www.wanted.co.kr/wd/214101
947,시놀,React Native/Node.js 풀스택 시니어 앱 개발자,https://www.wanted.co.kr/wd/190363
948,이노그리드,[혁신기술 2팀] DevOps엔지니어 (CI/CD),https://www.wanted.co.kr/wd/206612
949,에듀템,인공지능 기술개발 및 연구,https://www.wanted.co.kr/wd/105444
950,핀다(FINDA),기술지원 담당자,https://www.wanted.co.kr/wd/197838
951,십단콤보,핀테크 SaaS 풀스택 개발,https://www.wanted.co.kr/wd/206681
952,빗썸코리아,[빗썸] 데이터 분석 개발자,https://www.wanted.co.kr/wd/214874
953,한글과컴퓨터,SRE (Site Reliability Engineering),https://www.wanted.co.kr/wd/213341
954,알로카도스,React Native Staff Engineer,https://www.wanted.co.kr/wd/140908
955,시나몬,[200억↑투자] 클라이언트(언리얼/PC) 프로그래머,https://www.wanted.co.kr/wd/127187
956,에스티에이테스팅컨설팅(STA),SW 테스트 엔지니어(금융핀테크  부문),https://www.wanted.co.kr/wd/214601
957,잉카엔트웍스,앱보안 솔루션 제품팀 개발팀장(Tech Leader),https://www.wanted.co.kr/wd/205053
958,풀스택,백엔드 개발자 (팀장급),https://www.wanted.co.kr/wd/203937
959,원프레딕트(onepredict),IT 엔지니어,https://www.wanted.co.kr/wd/202046
960,레듀텍,반응형 웹 프로젝트 디자인 및 퍼블리싱(웹 퍼블리셔),https://www.wanted.co.kr/wd/213980
961,포티투닷(42dot),Senior Backend Engineer (FMS),https://www.wanted.co.kr/wd/142784
962,아임웹,[100억↑투자] Data Lead,https://www.wanted.co.kr/wd/171670
963,이노버스,크로스플랫폼 앱 개발자(Flutter) (SW팀),https://www.wanted.co.kr/wd/214854
964,슈퍼진,챗봇 서비스 서버 개발 (5년 이상),https://www.wanted.co.kr/wd/205080
965,몰로코,Senior Software Engineer - Data Engineering,https://www.wanted.co.kr/wd/207638
966,휴톰,Graphics SW Engineer (Simulator),https://www.wanted.co.kr/wd/185339
967,비즈테크아이,애플리케이션 아키텍트(5년 이상),https://www.wanted.co.kr/wd/189982
968,엔젤스윙,Engineering Team Lead,https://www.wanted.co.kr/wd/209638
969,포토위젯,iOS 엔지니어 (팀장),https://www.wanted.co.kr/wd/63107
970,아이엠에스이,QA 엔지니어,https://www.wanted.co.kr/wd/204001
971,알스퀘어,[1100억↑투자] 백엔드 개발 팀장,https://www.wanted.co.kr/wd/205570
972,포티투닷(42dot),Privacy Enhancing Engineer,https://www.wanted.co.kr/wd/185164
973,파킹허브,Java Software Engineer 팀장급,https://www.wanted.co.kr/wd/197460
974,잇마플,IT 서비스 프로젝트 매니저(PM),https://www.wanted.co.kr/wd/210621
975,파트리지시스템즈,C++ 엔지니어,https://www.wanted.co.kr/wd/214020
976,샘표식품,ERP 운영/개발 및 Process Innovation (경영혁신본부),https://www.wanted.co.kr/wd/169534
977,비플라이소프트,서비스개발본부 개발관리팀 팀원,https://www.wanted.co.kr/wd/209678
978,투스카이,Frontend 개발 (React),https://www.wanted.co.kr/wd/197741
979,카카오브레인,"Senior AI Research Scientist(칼로사업/이미지, 비디오 생성)",https://www.wanted.co.kr/wd/203818
980,아이티엑스-에이아이(ITX-AI),소프트웨어 개발자,https://www.wanted.co.kr/wd/209771
981,레몬베이스,백엔드 엔지니어 (챕터 리드),https://www.wanted.co.kr/wd/212440
982,아이코어,"머신비전 임베디드 개발자 (펌웨어, FPGA), 전문연구요원 가능",https://www.wanted.co.kr/wd/196838
983,휴톰,Graphics Engineer,https://www.wanted.co.kr/wd/211715
984,에스오엔컴퍼니,Digital Project Administrator,https://www.wanted.co.kr/wd/214396
985,뉴아인,파이썬 백엔드 개발 / S/W Team Leader (5년 이상),https://www.wanted.co.kr/wd/202365
986,카카오VX,스크린시스템개발팀 SW 개발자,https://www.wanted.co.kr/wd/213574
987,슈어소프트테크,[모빌리티솔루션1팀] 검증,https://www.wanted.co.kr/wd/198935
988,트리플콤마(골드스푼),데브옵스 엔지니어 (보안),https://www.wanted.co.kr/wd/195530
989,팹(PAP),"React, ReactNative 개발자",https://www.wanted.co.kr/wd/136210
990,멀티캠퍼스,모바일 웹개발자,https://www.wanted.co.kr/wd/208339
991,카카오브레인,AI Research Scientist(헬스케어사업),https://www.wanted.co.kr/wd/182400
992,커넥티드 인사이트,머신 비전 SW개발자 (신입),https://www.wanted.co.kr/wd/205957
993,디너앳에잇,웹 퍼블리셔,https://www.wanted.co.kr/wd/193390
994,스튜디오랩(STUDIO LAB),머신러닝 엔지니어 - 자연어 처리 (NLP),https://www.wanted.co.kr/wd/147279
995,클럼엘,[6년 이상] 시니어 Software Engineer (Data),https://www.wanted.co.kr/wd/212082
996,이터널,연구소 H/W & F/W 설계,https://www.wanted.co.kr/wd/163092
997,에이지엘,골프테크 RPA 개발,https://www.wanted.co.kr/wd/195437
998,무한정보기술,AI 딥러닝 R&D 연구원,https://www.wanted.co.kr/wd/215007
999,알라딘커뮤니케이션,DBA,https://www.wanted.co.kr/wd/215004
1000,에너넷,FE 개발자,https://www.wanted.co.kr/wd/215000
1001,뉴로다임,AI(딥러닝) 연구 및 개발,https://www.wanted.co.kr/wd/214943
1002,위메이드(WEMADE),[디스민즈워] PM(PC/Console),https://www.wanted.co.kr/wd/199970
1003,"우아한형제들(배달의민족,Tech)",클라우드 보안 엔지니어,https://www.wanted.co.kr/wd/213303
1004,에스앤제이랩(SNJLab),System Trading Developer,https://www.wanted.co.kr/wd/181911
1005,쿠팡,"Senior Manager, Mobile Product (Android)",https://www.wanted.co.kr/wd/194031
1006,클로버추얼패션(CLOVirtualFashion),[R&D] Software Engineer (전문연구요원),https://www.wanted.co.kr/wd/28766
1007,섬재,Flutter 앱 개발자,https://www.wanted.co.kr/wd/214670
1008,빗썸코리아,[빗썸] AML/FDS 시스템 기획자,https://www.wanted.co.kr/wd/210232
1009,에이피티플레이,QA 엔지니어,https://www.wanted.co.kr/wd/214639
1010,모본,무선 통신개발 S/W (2년이상),https://www.wanted.co.kr/wd/213771
1011,위츠,S/W개발자,https://www.wanted.co.kr/wd/210294
1012,크레도스파트너스,IT 기획/프로젝트관리/QA (차기 CIO 역할),https://www.wanted.co.kr/wd/199067
1013,모플랫,펌웨어 개발자 (4년 이상),https://www.wanted.co.kr/wd/207103
1014,띵스파이어,탄소회계 개발 Head Engineer,https://www.wanted.co.kr/wd/207292
1015,유진로봇,자율주행솔루션사업부 제어 엔지니어,https://www.wanted.co.kr/wd/212884
1016,이폼웍스,프론트엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/166532
1017,디오에프연구소,3D Geometry SW 엔지니어,https://www.wanted.co.kr/wd/208068
1018,베슬에이아이(VESSL AI),Security Engineer,https://www.wanted.co.kr/wd/207875
1019,오픈플랜,DevOps 엔지니어 (Senior),https://www.wanted.co.kr/wd/197468
1020,미소(miso),Front-end Developer (7년 이상),https://www.wanted.co.kr/wd/197329
1021,링네트,클라우드 엔지니어,https://www.wanted.co.kr/wd/206786
1022,넷스루,데이터솔루션엔지니어링 수행 팀원 (신입),https://www.wanted.co.kr/wd/214202
1023,스마일드래곤,Senior Web Frontend Engineer,https://www.wanted.co.kr/wd/195092
1024,필드멘토(FieldMentorCorp.),매칭플랫폼 풀스택 개발자 (3~5년차),https://www.wanted.co.kr/wd/196693
1025,디플래닉스(Dplanex),DevOps (4~6년),https://www.wanted.co.kr/wd/201457
1026,콜리,[100억↑투자] 머신러닝 엔지니어,https://www.wanted.co.kr/wd/172560
1027,에너자이(ENERZAi),(전문연구요원 가능) AI 컴파일러 엔지니어,https://www.wanted.co.kr/wd/110132
1028,바이온사이트,Data Scientist,https://www.wanted.co.kr/wd/167495
1029,오아시스비즈니스,데이터팀 리드 (5년 이상),https://www.wanted.co.kr/wd/209848
1030,파더스랩,"SW개발자 신입 (Linux Middleware, BSP)",https://www.wanted.co.kr/wd/214386
1031,반프,R&D / C 기반 임베디드 SW 엔지니어,https://www.wanted.co.kr/wd/205706
1032,엔에이치엔커머스(nhn커머스),시스템 엔지니어(부산지사),https://www.wanted.co.kr/wd/207446
1033,웨이커,BackEnd 개발자,https://www.wanted.co.kr/wd/190889
1034,트릿지,[1500억↑투자] Data Governance Manager,https://www.wanted.co.kr/wd/152955
1035,핀다(FINDA),데이터 분석가,https://www.wanted.co.kr/wd/207804
1036,알티엠,Senior Data Scientist (이미지 데이터)_5년 이상,https://www.wanted.co.kr/wd/180586
1037,지니언스,기술연구소 프론트엔드 웹 개발,https://www.wanted.co.kr/wd/207693
1038,몰로코,Senior Machine Learning Engineer,https://www.wanted.co.kr/wd/194010
1039,알테어엔지니어링,Application Developer (개발2팀),https://www.wanted.co.kr/wd/207092
1040,엠아이티,웹 개발자(Front) 개발자,https://www.wanted.co.kr/wd/190706
1041,에이아이파크,백엔드 개발자 (7년 이상),https://www.wanted.co.kr/wd/93620
1042,코인원(coinone),DB Administrator,https://www.wanted.co.kr/wd/202991
1043,아임웹,[100억↑투자] Data Analyst,https://www.wanted.co.kr/wd/110492
1044,제주알마켓,데이터 사이언티스트 (3년이상),https://www.wanted.co.kr/wd/167793
1045,실크로드소프트,(전문연구요원 가능) 소프트웨어 개발자 및 QA 엔지니어,https://www.wanted.co.kr/wd/207448
1046,딥인사이트,Data Scientist,https://www.wanted.co.kr/wd/214061
1047,디딤365,클라우드 관제센터,https://www.wanted.co.kr/wd/209909
1048,아주큐엠에스,시스템운영,https://www.wanted.co.kr/wd/180849
1049,루닛(Lunit),Senior Frontend Engineer · AI Platform,https://www.wanted.co.kr/wd/209636
1050,그립컴퍼니,데이터 엔지니어 (3~6년차),https://www.wanted.co.kr/wd/82387
1051,핀크(Finnq),인프라/클라우드 보안,https://www.wanted.co.kr/wd/180718
1052,아이엠에스이,부품개발 PM,https://www.wanted.co.kr/wd/204004
1053,제주알마켓,"Django 백앤드 개발자 (3-8년차, 제주/재택근무)",https://www.wanted.co.kr/wd/167791
1054,슈어소프트테크,[로보틱스개발팀] C/C++개발자,https://www.wanted.co.kr/wd/198904
1055,에이피더핀,백엔드 개발자,https://www.wanted.co.kr/wd/152035
1056,비잉테크,[창원] 스마트팩토리 사업 수행 PM,https://www.wanted.co.kr/wd/206967
1057,엑소시스템즈,임베디드 개발자 (병역특례 가능),https://www.wanted.co.kr/wd/19099
1058,파스토,QA Engineer,https://www.wanted.co.kr/wd/193417
1059,에이슨,의료기기 펌웨어 개발자,https://www.wanted.co.kr/wd/211913
1060,에이피더핀,프론트엔드 개발자,https://www.wanted.co.kr/wd/152032
1061,콜게이트,[100억↑투자] Back End 및 Front End(BPO) 개발자 (7년 이상),https://www.wanted.co.kr/wd/198862
1062,어니스트펀드,"시스템 및 솔루션 매니저 (미들급, 3~7년)",https://www.wanted.co.kr/wd/212256
1063,여기어때컴퍼니,DevOps Team Leader,https://www.wanted.co.kr/wd/198337
1064,에이에프아이,백엔드 엔지니어 (팀원),https://www.wanted.co.kr/wd/213772
1065,슈어소프트테크,[모빌리티SW전략2팀] 설계서 개발,https://www.wanted.co.kr/wd/207590
1066,위볼린,백엔드 개발자,https://www.wanted.co.kr/wd/214200
1067,이스트게임즈,온라인/모바일 게임서비스 시스템 엔지니어,https://www.wanted.co.kr/wd/72147
1068,바이너리코리아,블록체인 백엔드 개발자,https://www.wanted.co.kr/wd/202951
1069,스마트캐스트,C++ 개발자(5년이상) (재택가능),https://www.wanted.co.kr/wd/212510
1070,스튜디오씨드코리아(프로토파이),Software Engineering Manager-Core Engineering,https://www.wanted.co.kr/wd/213059
1071,이지샵,AWS 클라우드 운영,https://www.wanted.co.kr/wd/121889
1072,힐세리온,FW 엔지니어,https://www.wanted.co.kr/wd/192663
1073,하이지노,UX 기획자,https://www.wanted.co.kr/wd/211042
1074,버킷플레이스(오늘의집),ERP Manager,https://www.wanted.co.kr/wd/133429
1075,위메이드(WEMADE),블록체인 전송 시스템 운영 담당자,https://www.wanted.co.kr/wd/208778
1076,엔닷라이트,웹 서비스 백엔드 개발자 (6년 이상),https://www.wanted.co.kr/wd/197730
1077,원프레딕트(onepredict),DevOps (팀 리드),https://www.wanted.co.kr/wd/203560
1078,넛지헬스케어(캐시워크),Flutter 개발자 (병역특례_현역/보충역),https://www.wanted.co.kr/wd/168259
1079,크로커스,H/W 개발 엔지니어,https://www.wanted.co.kr/wd/199412
1080,핀다(FINDA),DBA,https://www.wanted.co.kr/wd/194672
1081,마바산업,소프트웨어 엔지니어(2년이상),https://www.wanted.co.kr/wd/159269
1082,루센트블록,[Tech] DevOps Engineer,https://www.wanted.co.kr/wd/80918
1083,슈어소프트테크,[SDV시스템실] SW검증,https://www.wanted.co.kr/wd/205500
1084,비씨랩스,Blockchain DevOps (4-10년),https://www.wanted.co.kr/wd/165106
1085,에이스웍스코리아,LabVIEW 프로그램 개발자 (2년 이상),https://www.wanted.co.kr/wd/179164
1086,"우아한형제들(배달의민족,Tech)",코어프로덕트실 검색프로덕트 서버 개발자,https://www.wanted.co.kr/wd/206016
1087,미소(miso),Front-end Developer (7년 이상),https://www.wanted.co.kr/wd/208400
1088,반프,R&D / HW(회로) 설계,https://www.wanted.co.kr/wd/205709
1089,보스반도체,SoC Application 엔지니어,https://www.wanted.co.kr/wd/210001
1090,한국신용데이터(KCD),[2600억↑투자] [SRE팀] Network Engineer,https://www.wanted.co.kr/wd/210867
1091,에이아이테크,Machine Vision 프로그램 개발,https://www.wanted.co.kr/wd/185529
1092,알세미,AI/ML Researcher (시니어),https://www.wanted.co.kr/wd/199163
1093,딥인사이트,기술 지원 (Field Application Engineer),https://www.wanted.co.kr/wd/185914
1094,톤28,개발자,https://www.wanted.co.kr/wd/212361
1095,아인잡(AINJOB),[자사 서비스] HR PLATFORM 백엔드 개발 리더 PM (8년 이상),https://www.wanted.co.kr/wd/209302
1096,이쿠얼키(인공지능수학 깨봉),QA Manager,https://www.wanted.co.kr/wd/191983
1097,시프트업,[AI Labs] Generative AI Research Engineer,https://www.wanted.co.kr/wd/180948
1098,후시파트너스,풀스택 & 백엔드 개발자(5년 이상),https://www.wanted.co.kr/wd/199057
1099,아이지에이웍스(IGAWorks),[500억↑투자] 데이터 엔지니어,https://www.wanted.co.kr/wd/179360
1100,에스알파테라퓨틱스,[전문연구요원] 안드로이드 앱 개발자,https://www.wanted.co.kr/wd/210005
1101,키다리스튜디오,DevOps 개발자 (6년 이상),https://www.wanted.co.kr/wd/199108
1102,알티엠,Frontend Engineer (7년 이상),https://www.wanted.co.kr/wd/59566
1103,하이스트레인저,시니어 서버/ 백엔드 엔지니어(4~8년차),https://www.wanted.co.kr/wd/202649
1104,센트비(Sentbe),[Corporate Development] Data Analyst,https://www.wanted.co.kr/wd/213508
1105,앤서스랩코리아,[Platform]Java Backend Server Engineer,https://www.wanted.co.kr/wd/140952
1106,한화투자증권,ST(토큰증권) 기획 (6년 이상),https://www.wanted.co.kr/wd/200257
1107,슈어소프트테크,[정적분석기술팀] 시스템프로그래머 (컴파일러/코드분석),https://www.wanted.co.kr/wd/198900
1108,긴트,[200억↑투자] 자율주행 개발자,https://www.wanted.co.kr/wd/141290
1109,노머스(원더월),[600억↑투자] 백엔드 개발자,https://www.wanted.co.kr/wd/149981
1110,와인소프트,웹 최적화 솔루션 DevOps 엔지니어 및 제품 컨설턴트,https://www.wanted.co.kr/wd/194392
1111,스마일드래곤,Backend Engineer,https://www.wanted.co.kr/wd/143920
1112,휴먼스케이프,[마미톡] 백엔드 엔지니어 (5년 이상~),https://www.wanted.co.kr/wd/199704
1113,서커스컴퍼니,인프라 개발자,https://www.wanted.co.kr/wd/207284
1114,스트라드비젼(STRADVISION),[1500억↑투자] Algorithm Engineer.Camera,https://www.wanted.co.kr/wd/208790
1115,피닉스다트,운영 및 QA,https://www.wanted.co.kr/wd/152298
1116,에이스웍스코리아,제어개발 엔지니어 전문연 가능,https://www.wanted.co.kr/wd/190890
1117,큐이디(QED),BackEnd Senior Engineer,https://www.wanted.co.kr/wd/187907
1118,카카오VX,골프엔진팀 엔진 개발 및 유지보수 담당자,https://www.wanted.co.kr/wd/212265
1119,넛지헬스케어(캐시워크),백엔드 개발자(Node.js)(병역특례_현역/보충역),https://www.wanted.co.kr/wd/85836
1120,블록체인랩스,백엔드 개발,https://www.wanted.co.kr/wd/138933
1121,디오비스튜디오,S/W 연구개발(AI),https://www.wanted.co.kr/wd/186340
1122,포티투닷(42dot),IT Operation Manager,https://www.wanted.co.kr/wd/200149
1123,크립토랩,Frontend Engineer (5년 이상),https://www.wanted.co.kr/wd/209369
1124,아이헤이트플라잉버그스,[600억↑투자] 데브옵스 엔지니어 (시니어),https://www.wanted.co.kr/wd/203959
1125,바티에이아이,자동화 노코드 툴 JAVA 백엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/195416
1126,무신사,Data Scientist(추천) (데이터프로덕트팀),https://www.wanted.co.kr/wd/181975
1127,에버스핀,보안솔루션 서버 기술지원 - 일본 근무,https://www.wanted.co.kr/wd/150146
1128,에스티씨랩(STCLab),"Software Engineer, Rust",https://www.wanted.co.kr/wd/199780
1129,이스트소프트(ESTsoft),[ESTsoft] 사내 IT 인프라 시스템 엔지니어,https://www.wanted.co.kr/wd/173199
1130,클럼엘,[2년 이상] 주니어 Software Engineer (Data),https://www.wanted.co.kr/wd/212056
1131,브레디스헬스케어,디지털 헬스케어 플랫폼 기획자/PO/PM,https://www.wanted.co.kr/wd/189865
1132,비잉테크,[창원] 스마트팩토리 솔루션 개발,https://www.wanted.co.kr/wd/206969
1133,에이아이에이생명(AIA생명),영업 플랫폼 개발자,https://www.wanted.co.kr/wd/196374
1134,클럼엘,[6년 이상] 시니어 Software Engineer (Product),https://www.wanted.co.kr/wd/211965
1135,카카오헬스케어,iOS개발자 (5년 이상),https://www.wanted.co.kr/wd/214897
1136,배럴아이,SW: SQA,https://www.wanted.co.kr/wd/203610
1137,포티투닷(42dot),Backend Engineer (TMS),https://www.wanted.co.kr/wd/142783
1138,시나몬,[200억↑투자] AI Research Engineer(Human motion generation),https://www.wanted.co.kr/wd/136783
1139,체인위드,블록체인 지갑 및 AI 플랫폼 QA,https://www.wanted.co.kr/wd/206033
